CardNumber,Transaction_ID,Transaction_Amount,Transaction_Frequency,Time_of_Day,IP_Risk_Score,Device_Risk_Score,Account_Age_Days,Declined_Transactions,High_Risk_Country,Multiple_Logins_Different_IPs,Velocity_Transactions_24h,Unusual_Spending_Pattern,FraudIndicator,Fraud_Summary,text_for_embedding
4000886833016361,T100013,64920,8,02:15,0.24,0.95,1219,0,0,0,11,0,Fraud,Transaction of ₹64920 from card 4000886833016361 at 02:15   . Marked as Fraud.,4000886833016361 | T100013 | 64920 | 8 | 02:15 | 0.24 | 0.95 | 1219 | 0 | 0 | 0 | 11 | 0
4000871590378377,T100014,869,5,20:15,0.45,0.11,12,4,0,1,1,0,Fraud,Transaction of ₹869 from card 4000871590378377 at 20:15   and multiple logins detected. Marked as Fraud.,4000871590378377 | T100014 | 869 | 5 | 20:15 | 0.45 | 0.11 | 12 | 4 | 0 | 1 | 1 | 0
4000561902006518,T100015,59835,4,12:30,0.98,0.15,195,1,0,0,14,1,Fraud,Transaction of ₹59835 from card 4000561902006518 at 12:30  with unusual spending . Marked as Fraud.,4000561902006518 | T100015 | 59835 | 4 | 12:30 | 0.98 | 0.15 | 195 | 1 | 0 | 0 | 14 | 1
4000590573056992,T100016,63055,6,16:00,0.77,0.94,490,3,0,0,7,0,Fraud,Transaction of ₹63055 from card 4000590573056992 at 16:00   . Marked as Fraud.,4000590573056992 | T100016 | 63055 | 6 | 16:00 | 0.77 | 0.94 | 490 | 3 | 0 | 0 | 7 | 0
4000407473554860,T100017,65025,2,16:00,0.03,0.74,795,1,0,0,13,0,Fraud,Transaction of ₹65025 from card 4000407473554860 at 16:00   . Marked as Fraud.,4000407473554860 | T100017 | 65025 | 2 | 16:00 | 0.03 | 0.74 | 795 | 1 | 0 | 0 | 13 | 0
4000933251567391,T100018,68069,11,02:15,0.07,0.88,881,2,0,0,14,1,Fraud,Transaction of ₹68069 from card 4000933251567391 at 02:15  with unusual spending . Marked as Fraud.,4000933251567391 | T100018 | 68069 | 11 | 02:15 | 0.07 | 0.88 | 881 | 2 | 0 | 0 | 14 | 1
4000275259659197,T100019,5411,4,00:30,0.46,0.2,182,1,0,1,14,1,Fraud,Transaction of ₹5411 from card 4000275259659197 at 00:30  with unusual spending and multiple logins detected. Marked as Fraud.,4000275259659197 | T100019 | 5411 | 4 | 00:30 | 0.46 | 0.2 | 182 | 1 | 0 | 1 | 14 | 1
4000566854953850,T100020,83204,15,12:30,0.91,0.59,962,2,0,0,14,0,Fraud,Transaction of ₹83204 from card 4000566854953850 at 12:30   . Marked as Fraud.,4000566854953850 | T100020 | 83204 | 15 | 12:30 | 0.91 | 0.59 | 962 | 2 | 0 | 0 | 14 | 0
4000406404042870,T100021,53807,6,16:00,0.54,0.7,1841,1,1,1,12,0,Fraud,Transaction of ₹53807 from card 4000406404042870 at 16:00 from high-risk country  and multiple logins detected. Marked as Fraud.,4000406404042870 | T100021 | 53807 | 6 | 16:00 | 0.54 | 0.7 | 1841 | 1 | 1 | 1 | 12 | 0
4000336890980656,T100022,85405,17,02:15,0.5,0.68,656,2,1,0,5,0,Fraud,Transaction of ₹85405 from card 4000336890980656 at 02:15 from high-risk country  . Marked as Fraud.,4000336890980656 | T100022 | 85405 | 17 | 02:15 | 0.5 | 0.68 | 656 | 2 | 1 | 0 | 5 | 0
4000941629821539,T100023,28793,6,16:00,0.11,0.41,1922,3,0,1,11,0,Fraud,Transaction of ₹28793 from card 4000941629821539 at 16:00   and multiple logins detected. Marked as Fraud.,4000941629821539 | T100023 | 28793 | 6 | 16:00 | 0.11 | 0.41 | 1922 | 3 | 0 | 1 | 11 | 0
4000213114812281,T100024,72032,19,23:50,0.66,0.02,1340,4,0,0,3,0,Fraud,Transaction of ₹72032 from card 4000213114812281 at 23:50   . Marked as Fraud.,4000213114812281 | T100024 | 72032 | 19 | 23:50 | 0.66 | 0.02 | 1340 | 4 | 0 | 0 | 3 | 0
4000517010168081,T100025,93116,2,12:30,0.82,0.58,694,2,0,1,1,0,Fraud,Transaction of ₹93116 from card 4000517010168081 at 12:30   and multiple logins detected. Marked as Fraud.,4000517010168081 | T100025 | 93116 | 2 | 12:30 | 0.82 | 0.58 | 694 | 2 | 0 | 1 | 1 | 0
4000491257417623,T100026,25758,15,12:30,0.38,0.25,30,2,1,0,11,0,Fraud,Transaction of ₹25758 from card 4000491257417623 at 12:30 from high-risk country  . Marked as Fraud.,4000491257417623 | T100026 | 25758 | 15 | 12:30 | 0.38 | 0.25 | 30 | 2 | 1 | 0 | 11 | 0
4000481597082643,T100027,84578,11,23:50,0.78,0.45,1620,3,0,0,10,1,Fraud,Transaction of ₹84578 from card 4000481597082643 at 23:50  with unusual spending . Marked as Fraud.,4000481597082643 | T100027 | 84578 | 11 | 23:50 | 0.78 | 0.45 | 1620 | 3 | 0 | 0 | 10 | 1
4000390355792387,T100028,18531,8,08:45,0.96,0.96,1702,2,0,0,6,1,Fraud,Transaction of ₹18531 from card 4000390355792387 at 08:45  with unusual spending . Marked as Fraud.,4000390355792387 | T100028 | 18531 | 8 | 08:45 | 0.96 | 0.96 | 1702 | 2 | 0 | 0 | 6 | 1
4000150711229823,T100029,2847,19,23:50,0.2,0.4,1820,0,0,1,11,0,Fraud,Transaction of ₹2847 from card 4000150711229823 at 23:50   and multiple logins detected. Marked as Fraud.,4000150711229823 | T100029 | 2847 | 19 | 23:50 | 0.2 | 0.4 | 1820 | 0 | 0 | 1 | 11 | 0
4000605645347792,T100030,59250,13,20:15,0.52,0.84,1817,3,0,0,1,1,Fraud,Transaction of ₹59250 from card 4000605645347792 at 20:15  with unusual spending . Marked as Fraud.,4000605645347792 | T100030 | 59250 | 13 | 20:15 | 0.52 | 0.84 | 1817 | 3 | 0 | 0 | 1 | 1
4000235447068293,T100031,65825,12,20:15,0.29,0.19,1120,0,0,0,9,1,Fraud,Transaction of ₹65825 from card 4000235447068293 at 20:15  with unusual spending . Marked as Fraud.,4000235447068293 | T100031 | 65825 | 12 | 20:15 | 0.29 | 0.19 | 1120 | 0 | 0 | 0 | 9 | 1
4000187525138707,T100032,84754,5,02:15,0.79,0.67,1405,3,0,1,2,0,Fraud,Transaction of ₹84754 from card 4000187525138707 at 02:15   and multiple logins detected. Marked as Fraud.,4000187525138707 | T100032 | 84754 | 5 | 02:15 | 0.79 | 0.67 | 1405 | 3 | 0 | 1 | 2 | 0
4000424493543665,T100033,35873,6,12:30,0.58,0.98,778,2,0,0,1,0,Fraud,Transaction of ₹35873 from card 4000424493543665 at 12:30   . Marked as Fraud.,4000424493543665 | T100033 | 35873 | 6 | 12:30 | 0.58 | 0.98 | 778 | 2 | 0 | 0 | 1 | 0
4000790757033266,T100034,67535,4,08:45,0.63,0.1,444,0,0,0,12,0,Fraud,Transaction of ₹67535 from card 4000790757033266 at 08:45   . Marked as Fraud.,4000790757033266 | T100034 | 67535 | 4 | 08:45 | 0.63 | 0.1 | 444 | 0 | 0 | 0 | 12 | 0
4000498837994177,T100035,56986,19,08:45,0.8,0.01,298,2,0,0,7,0,Fraud,Transaction of ₹56986 from card 4000498837994177 at 08:45   . Marked as Fraud.,4000498837994177 | T100035 | 56986 | 19 | 08:45 | 0.8 | 0.01 | 298 | 2 | 0 | 0 | 7 | 0
4000312933106111,T100036,66903,1,16:00,0.4,0.43,808,3,0,0,6,0,Fraud,Transaction of ₹66903 from card 4000312933106111 at 16:00   . Marked as Fraud.,4000312933106111 | T100036 | 66903 | 1 | 16:00 | 0.4 | 0.43 | 808 | 3 | 0 | 0 | 6 | 0
4000176040557040,T100037,31651,17,16:00,0.92,0.09,1761,2,0,1,6,0,Fraud,Transaction of ₹31651 from card 4000176040557040 at 16:00   and multiple logins detected. Marked as Fraud.,4000176040557040 | T100037 | 31651 | 17 | 16:00 | 0.92 | 0.09 | 1761 | 2 | 0 | 1 | 6 | 0
4000826046287257,T100038,11494,12,23:50,0.53,0.75,845,0,0,0,14,0,Not Fraud,Transaction of ₹11494 from card 4000826046287257 at 23:50   . Marked as Not Fraud.,4000826046287257 | T100038 | 11494 | 12 | 23:50 | 0.53 | 0.75 | 845 | 0 | 0 | 0 | 14 | 0
4000947087372942,T100039,69192,15,08:45,0.16,0.91,1016,0,0,0,5,0,Fraud,Transaction of ₹69192 from card 4000947087372942 at 08:45   . Marked as Fraud.,4000947087372942 | T100039 | 69192 | 15 | 08:45 | 0.16 | 0.91 | 1016 | 0 | 0 | 0 | 5 | 0
4000517045625552,T100040,3990,1,23:50,0.7,0.43,1385,2,0,1,11,1,Fraud,Transaction of ₹3990 from card 4000517045625552 at 23:50  with unusual spending and multiple logins detected. Marked as Fraud.,4000517045625552 | T100040 | 3990 | 1 | 23:50 | 0.7 | 0.43 | 1385 | 2 | 0 | 1 | 11 | 1
4000599410093881,T100041,41706,14,23:50,0.79,0.26,1398,1,0,0,4,0,Not Fraud,Transaction of ₹41706 from card 4000599410093881 at 23:50   . Marked as Not Fraud.,4000599410093881 | T100041 | 41706 | 14 | 23:50 | 0.79 | 0.26 | 1398 | 1 | 0 | 0 | 4 | 0
4000277660601409,T100042,96376,6,16:00,0.32,0.43,554,3,1,0,11,0,Fraud,Transaction of ₹96376 from card 4000277660601409 at 16:00 from high-risk country  . Marked as Fraud.,4000277660601409 | T100042 | 96376 | 6 | 16:00 | 0.32 | 0.43 | 554 | 3 | 1 | 0 | 11 | 0
4000488136971784,T100043,80138,5,12:30,0.86,0.72,303,3,0,0,4,0,Fraud,Transaction of ₹80138 from card 4000488136971784 at 12:30   . Marked as Fraud.,4000488136971784 | T100043 | 80138 | 5 | 12:30 | 0.86 | 0.72 | 303 | 3 | 0 | 0 | 4 | 0
4000835339233454,T100044,87413,11,23:50,0.91,0.01,421,2,0,0,3,0,Fraud,Transaction of ₹87413 from card 4000835339233454 at 23:50   . Marked as Fraud.,4000835339233454 | T100044 | 87413 | 11 | 23:50 | 0.91 | 0.01 | 421 | 2 | 0 | 0 | 3 | 0
4000869945806981,T100045,10727,4,00:30,0.28,0.59,1270,1,0,0,10,1,Fraud,Transaction of ₹10727 from card 4000869945806981 at 00:30  with unusual spending . Marked as Fraud.,4000869945806981 | T100045 | 10727 | 4 | 00:30 | 0.28 | 0.59 | 1270 | 1 | 0 | 0 | 10 | 1
4000851347210313,T100046,8892,13,12:30,0.98,0.61,1744,0,1,1,8,0,Fraud,Transaction of ₹8892 from card 4000851347210313 at 12:30 from high-risk country  and multiple logins detected. Marked as Fraud.,4000851347210313 | T100046 | 8892 | 13 | 12:30 | 0.98 | 0.61 | 1744 | 0 | 1 | 1 | 8 | 0
4000180092702123,T100047,74069,11,08:45,0.14,0.64,1261,4,0,0,7,0,Fraud,Transaction of ₹74069 from card 4000180092702123 at 08:45   . Marked as Fraud.,4000180092702123 | T100047 | 74069 | 11 | 08:45 | 0.14 | 0.64 | 1261 | 4 | 0 | 0 | 7 | 0
4000798400899699,T100048,43101,3,08:45,0.2,0.24,1558,4,0,0,9,1,Fraud,Transaction of ₹43101 from card 4000798400899699 at 08:45  with unusual spending . Marked as Fraud.,4000798400899699 | T100048 | 43101 | 3 | 08:45 | 0.2 | 0.24 | 1558 | 4 | 0 | 0 | 9 | 1
4000684850587137,T100049,76652,1,23:50,0.18,0.71,185,2,0,0,1,0,Fraud,Transaction of ₹76652 from card 4000684850587137 at 23:50   . Marked as Fraud.,4000684850587137 | T100049 | 76652 | 1 | 23:50 | 0.18 | 0.71 | 185 | 2 | 0 | 0 | 1 | 0
4000369419548116,T100050,23997,6,12:30,0.89,0.09,468,1,0,0,7,0,Fraud,Transaction of ₹23997 from card 4000369419548116 at 12:30   . Marked as Fraud.,4000369419548116 | T100050 | 23997 | 6 | 12:30 | 0.89 | 0.09 | 468 | 1 | 0 | 0 | 7 | 0
4000607507949295,T100051,68248,18,16:00,0.65,0.2,754,1,0,1,10,0,Fraud,Transaction of ₹68248 from card 4000607507949295 at 16:00   and multiple logins detected. Marked as Fraud.,4000607507949295 | T100051 | 68248 | 18 | 16:00 | 0.65 | 0.2 | 754 | 1 | 0 | 1 | 10 | 0
4000397982492151,T100052,23583,10,16:00,0.15,0.88,363,3,0,1,4,1,Fraud,Transaction of ₹23583 from card 4000397982492151 at 16:00  with unusual spending and multiple logins detected. Marked as Fraud.,4000397982492151 | T100052 | 23583 | 10 | 16:00 | 0.15 | 0.88 | 363 | 3 | 0 | 1 | 4 | 1
4000858663022120,T100053,48655,5,20:15,0.44,0.74,1307,0,0,0,7,0,Not Fraud,Transaction of ₹48655 from card 4000858663022120 at 20:15   . Marked as Not Fraud.,4000858663022120 | T100053 | 48655 | 5 | 20:15 | 0.44 | 0.74 | 1307 | 0 | 0 | 0 | 7 | 0
4000342910249529,T100054,17259,10,08:45,0.62,0.01,1577,1,0,0,13,0,Not Fraud,Transaction of ₹17259 from card 4000342910249529 at 08:45   . Marked as Not Fraud.,4000342910249529 | T100054 | 17259 | 10 | 08:45 | 0.62 | 0.01 | 1577 | 1 | 0 | 0 | 13 | 0
4000459422681391,T100055,80177,12,02:15,0.08,0.25,336,4,0,0,12,0,Fraud,Transaction of ₹80177 from card 4000459422681391 at 02:15   . Marked as Fraud.,4000459422681391 | T100055 | 80177 | 12 | 02:15 | 0.08 | 0.25 | 336 | 4 | 0 | 0 | 12 | 0
4000945433611429,T100056,36020,2,20:15,0.88,0.21,162,0,0,0,1,0,Fraud,Transaction of ₹36020 from card 4000945433611429 at 20:15   . Marked as Fraud.,4000945433611429 | T100056 | 36020 | 2 | 20:15 | 0.88 | 0.21 | 162 | 0 | 0 | 0 | 1 | 0
4000163462436409,T100057,92167,13,16:00,0.8,0.27,1184,0,0,0,5,1,Fraud,Transaction of ₹92167 from card 4000163462436409 at 16:00  with unusual spending . Marked as Fraud.,4000163462436409 | T100057 | 92167 | 13 | 16:00 | 0.8 | 0.27 | 1184 | 0 | 0 | 0 | 5 | 1
4000984901132451,T100058,67221,8,12:30,0.51,0.25,1498,2,0,0,3,0,Fraud,Transaction of ₹67221 from card 4000984901132451 at 12:30   . Marked as Fraud.,4000984901132451 | T100058 | 67221 | 8 | 12:30 | 0.51 | 0.25 | 1498 | 2 | 0 | 0 | 3 | 0
4000539441524732,T100059,69579,2,16:00,0.97,0.06,1625,1,0,0,5,0,Fraud,Transaction of ₹69579 from card 4000539441524732 at 16:00   . Marked as Fraud.,4000539441524732 | T100059 | 69579 | 2 | 16:00 | 0.97 | 0.06 | 1625 | 1 | 0 | 0 | 5 | 0
4000169869415070,T100060,89575,1,12:30,0.42,0.46,1346,2,0,0,4,0,Fraud,Transaction of ₹89575 from card 4000169869415070 at 12:30   . Marked as Fraud.,4000169869415070 | T100060 | 89575 | 1 | 12:30 | 0.42 | 0.46 | 1346 | 2 | 0 | 0 | 4 | 0
4000726820024292,T100061,19557,5,20:15,0.98,0.73,12,1,0,0,2,1,Fraud,Transaction of ₹19557 from card 4000726820024292 at 20:15  with unusual spending . Marked as Fraud.,4000726820024292 | T100061 | 19557 | 5 | 20:15 | 0.98 | 0.73 | 12 | 1 | 0 | 0 | 2 | 1
4000889742985454,T100062,66657,9,08:45,0.67,0.61,1448,3,0,0,11,0,Fraud,Transaction of ₹66657 from card 4000889742985454 at 08:45   . Marked as Fraud.,4000889742985454 | T100062 | 66657 | 9 | 08:45 | 0.67 | 0.61 | 1448 | 3 | 0 | 0 | 11 | 0
4000333279765207,T100063,77289,17,16:00,0.63,0.67,1097,2,1,0,4,1,Fraud,Transaction of ₹77289 from card 4000333279765207 at 16:00 from high-risk country with unusual spending . Marked as Fraud.,4000333279765207 | T100063 | 77289 | 17 | 16:00 | 0.63 | 0.67 | 1097 | 2 | 1 | 0 | 4 | 1
4000648275934229,T100064,79053,9,23:50,0.17,0.08,588,2,0,0,3,1,Fraud,Transaction of ₹79053 from card 4000648275934229 at 23:50  with unusual spending . Marked as Fraud.,4000648275934229 | T100064 | 79053 | 9 | 23:50 | 0.17 | 0.08 | 588 | 2 | 0 | 0 | 3 | 1
4000808302588517,T100065,53095,11,12:30,0.88,0.95,1882,4,0,0,13,0,Fraud,Transaction of ₹53095 from card 4000808302588517 at 12:30   . Marked as Fraud.,4000808302588517 | T100065 | 53095 | 11 | 12:30 | 0.88 | 0.95 | 1882 | 4 | 0 | 0 | 13 | 0
4000256589576361,T100066,40857,15,08:45,0.43,0.84,201,2,0,1,1,0,Fraud,Transaction of ₹40857 from card 4000256589576361 at 08:45   and multiple logins detected. Marked as Fraud.,4000256589576361 | T100066 | 40857 | 15 | 08:45 | 0.43 | 0.84 | 201 | 2 | 0 | 1 | 1 | 0
4000251461507038,T100067,9792,6,02:15,0.16,0.81,522,1,0,0,12,0,Fraud,Transaction of ₹9792 from card 4000251461507038 at 02:15   . Marked as Fraud.,4000251461507038 | T100067 | 9792 | 6 | 02:15 | 0.16 | 0.81 | 522 | 1 | 0 | 0 | 12 | 0
4000917103043320,T100068,45858,3,12:30,0.01,0.82,1888,4,0,0,10,1,Fraud,Transaction of ₹45858 from card 4000917103043320 at 12:30  with unusual spending . Marked as Fraud.,4000917103043320 | T100068 | 45858 | 3 | 12:30 | 0.01 | 0.82 | 1888 | 4 | 0 | 0 | 10 | 1
4000690821577339,T100069,72509,17,20:15,0.56,0.93,505,2,0,0,8,0,Fraud,Transaction of ₹72509 from card 4000690821577339 at 20:15   . Marked as Fraud.,4000690821577339 | T100069 | 72509 | 17 | 20:15 | 0.56 | 0.93 | 505 | 2 | 0 | 0 | 8 | 0
4000921467220156,T100070,71311,5,02:15,0.53,0.54,1762,2,0,0,5,0,Fraud,Transaction of ₹71311 from card 4000921467220156 at 02:15   . Marked as Fraud.,4000921467220156 | T100070 | 71311 | 5 | 02:15 | 0.53 | 0.54 | 1762 | 2 | 0 | 0 | 5 | 0
4000570662212985,T100071,65797,12,02:15,0.72,0.2,1712,3,0,1,4,1,Fraud,Transaction of ₹65797 from card 4000570662212985 at 02:15  with unusual spending and multiple logins detected. Marked as Fraud.,4000570662212985 | T100071 | 65797 | 12 | 02:15 | 0.72 | 0.2 | 1712 | 3 | 0 | 1 | 4 | 1
4000743806247029,T100072,37165,18,00:30,0.89,0.62,788,2,0,0,10,0,Fraud,Transaction of ₹37165 from card 4000743806247029 at 00:30   . Marked as Fraud.,4000743806247029 | T100072 | 37165 | 18 | 00:30 | 0.89 | 0.62 | 788 | 2 | 0 | 0 | 10 | 0
4000496852403351,T100073,92193,14,16:00,0.08,0.74,1063,0,0,0,12,0,Fraud,Transaction of ₹92193 from card 4000496852403351 at 16:00   . Marked as Fraud.,4000496852403351 | T100073 | 92193 | 14 | 16:00 | 0.08 | 0.74 | 1063 | 0 | 0 | 0 | 12 | 0
4000254608246768,T100074,99399,11,12:30,0.73,0.74,60,4,0,1,5,0,Fraud,Transaction of ₹99399 from card 4000254608246768 at 12:30   and multiple logins detected. Marked as Fraud.,4000254608246768 | T100074 | 99399 | 11 | 12:30 | 0.73 | 0.74 | 60 | 4 | 0 | 1 | 5 | 0
4000643354278056,T100075,32706,9,02:15,0.19,0.52,578,0,0,0,4,0,Not Fraud,Transaction of ₹32706 from card 4000643354278056 at 02:15   . Marked as Not Fraud.,4000643354278056 | T100075 | 32706 | 9 | 02:15 | 0.19 | 0.52 | 578 | 0 | 0 | 0 | 4 | 0
4000929319141080,T100076,11634,2,00:30,0.86,0.07,321,4,0,0,3,1,Fraud,Transaction of ₹11634 from card 4000929319141080 at 00:30  with unusual spending . Marked as Fraud.,4000929319141080 | T100076 | 11634 | 2 | 00:30 | 0.86 | 0.07 | 321 | 4 | 0 | 0 | 3 | 1
4000267974663989,T100077,94763,12,20:15,0.82,0.37,1459,3,0,0,5,0,Fraud,Transaction of ₹94763 from card 4000267974663989 at 20:15   . Marked as Fraud.,4000267974663989 | T100077 | 94763 | 12 | 20:15 | 0.82 | 0.37 | 1459 | 3 | 0 | 0 | 5 | 0
4000274493552068,T100078,40497,3,08:45,0.54,0.92,1660,2,1,0,4,0,Fraud,Transaction of ₹40497 from card 4000274493552068 at 08:45 from high-risk country  . Marked as Fraud.,4000274493552068 | T100078 | 40497 | 3 | 08:45 | 0.54 | 0.92 | 1660 | 2 | 1 | 0 | 4 | 0
4000850726264460,T100079,91487,3,23:50,0.71,0.58,1700,2,1,0,1,1,Fraud,Transaction of ₹91487 from card 4000850726264460 at 23:50 from high-risk country with unusual spending . Marked as Fraud.,4000850726264460 | T100079 | 91487 | 3 | 23:50 | 0.71 | 0.58 | 1700 | 2 | 1 | 0 | 1 | 1
4000754648192232,T100080,1116,1,23:50,0.31,0.54,1432,2,0,0,12,0,Not Fraud,Transaction of ₹1116 from card 4000754648192232 at 23:50   . Marked as Not Fraud.,4000754648192232 | T100080 | 1116 | 1 | 23:50 | 0.31 | 0.54 | 1432 | 2 | 0 | 0 | 12 | 0
4000521179644432,T100081,89889,8,12:30,0.47,0.27,923,4,0,0,3,1,Fraud,Transaction of ₹89889 from card 4000521179644432 at 12:30  with unusual spending . Marked as Fraud.,4000521179644432 | T100081 | 89889 | 8 | 12:30 | 0.47 | 0.27 | 923 | 4 | 0 | 0 | 3 | 1
4000754474071330,T100082,55691,8,02:15,0.82,0.37,1410,2,0,1,10,1,Fraud,Transaction of ₹55691 from card 4000754474071330 at 02:15  with unusual spending and multiple logins detected. Marked as Fraud.,4000754474071330 | T100082 | 55691 | 8 | 02:15 | 0.82 | 0.37 | 1410 | 2 | 0 | 1 | 10 | 1
4000615379416985,T100083,89912,11,23:50,0.46,0.9,1695,0,0,0,10,0,Fraud,Transaction of ₹89912 from card 4000615379416985 at 23:50   . Marked as Fraud.,4000615379416985 | T100083 | 89912 | 11 | 23:50 | 0.46 | 0.9 | 1695 | 0 | 0 | 0 | 10 | 0
4000377150435753,T100084,23347,9,16:00,0.36,0.67,569,2,0,0,8,0,Not Fraud,Transaction of ₹23347 from card 4000377150435753 at 16:00   . Marked as Not Fraud.,4000377150435753 | T100084 | 23347 | 9 | 16:00 | 0.36 | 0.67 | 569 | 2 | 0 | 0 | 8 | 0
4000709761138617,T100085,24400,5,23:50,0.49,0.79,1102,3,0,0,7,0,Fraud,Transaction of ₹24400 from card 4000709761138617 at 23:50   . Marked as Fraud.,4000709761138617 | T100085 | 24400 | 5 | 23:50 | 0.49 | 0.79 | 1102 | 3 | 0 | 0 | 7 | 0
4000847373620112,T100086,74165,14,23:50,0.83,0.45,1218,0,0,0,2,0,Fraud,Transaction of ₹74165 from card 4000847373620112 at 23:50   . Marked as Fraud.,4000847373620112 | T100086 | 74165 | 14 | 23:50 | 0.83 | 0.45 | 1218 | 0 | 0 | 0 | 2 | 0
4000227649528249,T100087,82898,3,23:50,0.34,0.63,1309,2,0,0,1,0,Fraud,Transaction of ₹82898 from card 4000227649528249 at 23:50   . Marked as Fraud.,4000227649528249 | T100087 | 82898 | 3 | 23:50 | 0.34 | 0.63 | 1309 | 2 | 0 | 0 | 1 | 0
4000926939990836,T100088,9368,5,00:30,0.17,0.25,527,2,0,1,3,0,Fraud,Transaction of ₹9368 from card 4000926939990836 at 00:30   and multiple logins detected. Marked as Fraud.,4000926939990836 | T100088 | 9368 | 5 | 00:30 | 0.17 | 0.25 | 527 | 2 | 0 | 1 | 3 | 0
4000942959595464,T100089,86907,5,02:15,0.71,0.71,524,1,0,0,5,0,Fraud,Transaction of ₹86907 from card 4000942959595464 at 02:15   . Marked as Fraud.,4000942959595464 | T100089 | 86907 | 5 | 02:15 | 0.71 | 0.71 | 524 | 1 | 0 | 0 | 5 | 0
